,Team,Final Record,Year,Wins,Losses,GP,Win Pct,"Team, Year"
27,MIL,26-56,2007-08,26.0,56.0,82.0,0.3170731707317073,"MIL, 2007-08"
10,NJN,26-56,1988-89,26.0,56.0,82.0,0.3170731707317073,"NJN, 1988-89"
30,PHI,27-55,2009-10,27.0,55.0,82.0,0.32926829268292684,"PHI, 2009-10"
23,POR,27-55,2004-05,27.0,55.0,82.0,0.32926829268292684,"POR, 2004-05"
5,CHI,27-55,1983-84,27.0,55.0,82.0,0.32926829268292684,"CHI, 1983-84"
18,DET,28-54,1994-95,28.0,54.0,82.0,0.34146341463414637,"DET, 1994-95"
13,DAL,28-54,1990-91,28.0,54.0,82.0,0.34146341463414637,"DAL, 1990-91"
36,PHI,28-54,2016-17,28.0,54.0,82.0,0.34146341463414637,"PHI, 2016-17"
2,CLE,28-54,1980-81,28.0,54.0,82.0,0.34146341463414637,"CLE, 1980-81"
4,CLE,28-54,1983-84,28.0,54.0,82.0,0.34146341463414637,"CLE, 1983-84"
32,GSW,23-43,2011-12,23.0,43.0,66.0,0.3484848484848485,"GSW, 2011-12"
34,DET,29-53,2012-13,29.0,53.0,82.0,0.35365853658536583,"DET, 2012-13"
22,NYK,30-52,2001-02,30.0,52.0,82.0,0.36585365853658536,"NYK, 2001-02"
26,ATL,30-52,2006-07,30.0,52.0,82.0,0.36585365853658536,"ATL, 2006-07"
21,CLE,30-52,2000-01,30.0,52.0,82.0,0.36585365853658536,"CLE, 2000-01"
17,NJN,30-52,1994-95,30.0,52.0,82.0,0.36585365853658536,"NJN, 1994-95"
0,PHX,30-52,1973-74,30.0,52.0,82.0,0.36585365853658536,"PHX, 1973-74"
12,WAS,30-52,1990-91,30.0,52.0,82.0,0.36585365853658536,"WAS, 1990-91"
9,SAN,31-51,1987-88,31.0,51.0,82.0,0.3780487804878049,"SAN, 1987-88"
6,LAC,31-51,1984-85,31.0,51.0,82.0,0.3780487804878049,"LAC, 1984-85"
14,CHH,31-51,1991-92,31.0,51.0,82.0,0.3780487804878049,"CHH, 1991-92"
11,WAS,31-51,1989-90,31.0,51.0,82.0,0.3780487804878049,"WAS, 1989-90"
33,DET,25-41,2011-12,25.0,41.0,66.0,0.3787878787878788,"DET, 2011-12"
1,BOS,32-50,1977-78,32.0,50.0,82.0,0.3902439024390244,"BOS, 1977-78"
15,BOS,32-50,1993-94,32.0,50.0,82.0,0.3902439024390244,"BOS, 1993-94"
7,LAC,32-50,1985-86,32.0,50.0,82.0,0.3902439024390244,"LAC, 1985-86"
25,CHA,33-49,2006-07,33.0,49.0,82.0,0.4024390243902439,"CHA, 2006-07"
29,TOR,33-49,2008-09,33.0,49.0,82.0,0.4024390243902439,"TOR, 2008-09"
35,CLE,33-49,2013-14,33.0,49.0,82.0,0.4024390243902439,"CLE, 2013-14"
16,MIL,34-48,1994-95,34.0,48.0,82.0,0.4146341463414634,"MIL, 1994-95"
31,MIL,35-47,2010-11,35.0,47.0,82.0,0.4268292682926829,"MIL, 2010-11"
24,SEA,35-47,2005-06,35.0,47.0,82.0,0.4268292682926829,"SEA, 2005-06"
28,IND,36-46,2007-08,36.0,46.0,82.0,0.43902439024390244,"IND, 2007-08"
19,DAL,36-46,1994-95,36.0,46.0,82.0,0.43902439024390244,"DAL, 1994-95"
8,PHX,36-46,1986-87,36.0,46.0,82.0,0.43902439024390244,"PHX, 1986-87"
3,DEN,37-45,1980-81,37.0,45.0,82.0,0.45121951219512196,"DEN, 1980-81"
20,PHX,40-42,1996-97,40.0,42.0,82.0,0.4878048780487805,"PHX, 1996-97"
